eval/episode_reward_dist,eval/episode_reward_near,training/alpha_loss,training/critic_loss,eval/episode_dist,_step,training/actor_loss,eval/episode_success_easy,eval/episode_reward,training/entropy,eval/episode_reward_ctrl,training/log_alpha,_runtime,render,eval/episode_success_hard,eval/episode_reward_survive,eval/episode_success,step,_timestamp,eval/episode_success_any,training/sps
,,,,,0.0,,,,,,,30.737592276,"{'sha256': '850e4693dfbd401037c00d718b6253decce98db6cf8d10d122111c40cab0b189', 'path': 'media/html/render_0_850e4693dfbd401037c0.html', 'size': 949217, '_type': 'html-file'}",,,,,1774120306.8763092,,
,,,,,1.0,,,,,,,62.158863449,"{'path': 'media/html/render_1_e4cf6b9e6e3143f89be2.html', 'size': 945041, '_type': 'html-file', 'sha256': 'e4cf6b9e6e3143f89be2b4108dbb313446e33eaf09ad3d08f93b63c830081e9a'}",,,,,1774120338.2976375,,
-204.00796508789062,0.0,0.0,0.057513706386089325,204.00796508789062,1333248.0,0.4004199504852295,0.0,30.72265625,0.0,0.0,0.0,67.975324121,,0.0,0.0,30.72265625,1333248.0,1774120338.4511278,1.0,16662.616420007507
-143.35165405273438,0.0,0.0,0.03548197075724602,143.35165405273438,1587200.0,-0.33797621726989746,0.0,157.791015625,0.0,0.0,0.0,73.624224945,,0.0,0.0,157.791015625,1587200.0,1774120344.1135006,0.8876953125,51433.60703577081
-128.7959747314453,0.0,0.0,0.06108469143509865,128.7959747314453,1841152.0,-0.6635360717773438,0.0,165.986328125,0.0,0.0,0.0,79.30287456,,0.0,0.0,165.986328125,1841152.0,1774120349.7623765,0.8388671875,51525.18133227828
-98.1052474975586,0.0,0.0,0.11749376356601715,98.1052474975586,2095104.0,-0.71217280626297,0.0,352.59375,0.0,0.0,0.0,84.965800295,,0.0,0.0,352.59375,2095104.0,1774120355.4409888,0.7275390625,51260.73263076842
-90.27993774414062,0.0,0.0,0.20895887911319733,90.27993774414062,2349056.0,-0.7054956555366516,0.0,448.31640625,0.0,0.0,0.0,99.78977049,"{'_type': 'html-file', 'sha256': '1ef4a38ceca842e18e38c51d858c3236ee6f19d359fce8300b27ff9dd1a26209', 'path': 'media/html/render_2349056_1ef4a38ceca842e18e38.html', 'size': 892729}",0.0,0.0,448.31640625,2349056.0,1774120375.9285228,0.763671875,51386.935309552246
-91.6473388671875,0.0,0.0,0.35565054416656494,91.6473388671875,2603008.0,-0.9264873266220093,0.0,401.6513671875,0.0,0.0,0.0,105.606566803,,0.0,0.0,401.6513671875,2603008.0,1774120376.0836103,0.7431640625,51578.29543311479
-90.0278091430664,0.0,0.0,0.5239278674125671,90.0278091430664,2856960.0,-1.4337784051895142,0.0,494.642578125,0.0,0.0,0.0,111.268960006,,0.0,0.0,494.642578125,2856960.0,1774120381.7449472,0.857421875,51422.189957572846
-96.15669250488281,0.0,0.0,0.7365148067474365,96.15669250488281,3110912.0,-2.5470926761627197,0.0,506.8408203125,0.0,0.0,0.0,116.933253426,,0.0,0.0,506.8408203125,3110912.0,1774120387.4073017,0.779296875,51386.34776977664
-72.16758728027344,0.0,0.0,1.0156806707382202,72.16758728027344,3364864.0,-4.147536754608154,0.0,549.4921875,0.0,0.0,0.0,122.589906047,,0.0,0.0,549.4921875,3364864.0,1774120393.0714,0.8408203125,51378.37144950711
-89.00128173828125,0.0,0.0,1.235048532485962,89.00128173828125,3618816.0,-5.507044792175293,0.0,416.6015625,0.0,0.0,0.0,137.471057423,"{'path': 'media/html/render_3618816_93b985439e2968cb4479.html', 'size': 870425, '_type': 'html-file', 'sha256': '93b985439e2968cb44794d1db1a5b84547a42e99e3938417552c0c2fadf2ee9b'}",0.0,0.0,416.6015625,3618816.0,1774120413.6098447,0.6572265625,51459.034324030516
-67.10478973388672,0.0,0.0,1.4058836698532104,67.10478973388672,3872768.0,-6.909230709075928,0.0,575.8828125,0.0,0.0,0.0,143.306754262,,0.0,0.0,575.8828125,3872768.0,1774120413.7621562,0.849609375,51201.83318764123
-76.43792724609375,0.0,0.0,1.4975261688232422,76.43792724609375,4126720.0,-7.986513137817383,0.0,575.5,0.0,0.0,0.0,148.997183623,,0.0,0.0,575.5,4126720.0,1774120419.4450905,0.7841796875,51222.49897487859
-80.54011535644531,0.0,0.0,1.657360315322876,80.54011535644531,4380672.0,-9.363948822021484,0.0,562.3828125,0.0,0.0,0.0,154.68097308,,0.0,0.0,562.3828125,4380672.0,1774120425.135431,0.841796875,51100.170808932286
-66.97697448730469,0.0,0.0,1.775058627128601,66.97697448730469,4634624.0,-11.053553581237793,0.0,618.3486328125,0.0,0.0,0.0,160.373164988,,0.0,0.0,618.3486328125,4634624.0,1774120430.8192725,0.896484375,51184.84128921467
-62.37407684326172,0.0,0.0,1.892741322517395,62.37407684326172,4888576.0,-11.564577102661133,0.0,673.0859375,0.0,0.0,0.0,175.285941106,"{'size': 845729, '_type': 'html-file', 'sha256': '5874753b34923f76b1babf177993b4fb7db3a348bd8d5cc21a80ef162df4b73c', 'path': 'media/html/render_4888576_5874753b34923f76b1ba.html'}",0.0,0.0,673.0859375,4888576.0,1774120451.42471,0.884765625,51102.75237635893
