eval/episode_success,training/sps,eval/episode_success_any,eval/episode_dist,training/entropy,eval/episode_reward_dist,_runtime,eval/episode_reward,eval/episode_reward_ctrl,training/log_alpha,render,step,_timestamp,_step,training/actor_loss,training/critic_loss,eval/episode_reward_near,training/alpha_loss,eval/episode_success_hard,eval/episode_reward_survive,eval/episode_success_easy
,,,,,,29.322191252,,,,"{'path': 'media/html/render_0_bee7b706c598b5686d6a.html', 'size': 945393, '_type': 'html-file', 'sha256': 'bee7b706c598b5686d6a02b5e0a9bf58c2cf25273b7b9a759f0cf824dce3d5cc'}",,1774112374.166094,0.0,,,,,,,
,,,,,,60.931446777,,,,"{'path': 'media/html/render_1_bb9fc39b9a7e91b7bba3.html', 'size': 942709, '_type': 'html-file', 'sha256': 'bb9fc39b9a7e91b7bba33c5725fdff4dd2c982b57726d3c3f795d0c6e108d656'}",,1774112405.7753232,1.0,,,,,,,
52.6689453125,16556.377632467535,0.990234375,191.89202880859375,0.0,-191.89202880859375,66.882841012,52.6689453125,0.0,0.0,,1333248.0,1774112405.9429936,1333248.0,0.8409176468849182,0.02747810259461403,0.0,0.0,0.0,0.0,0.0
114.927734375,50240.283613267806,0.9091796875,145.54400634765625,0.0,-145.54400634765625,72.674338136,114.927734375,0.0,0.0,,1587200.0,1774112411.725749,1587200.0,0.08987528085708618,0.02181253582239151,0.0,0.0,0.0,0.0,0.0
212.4873046875,50086.12830461942,0.9580078125,136.49594116210938,0.0,-136.49594116210938,78.494871761,212.4873046875,0.0,0.0,,1841152.0,1774112417.517817,1841152.0,-0.35929322242736816,0.03508658707141876,0.0,0.0,0.0,0.0,0.0
240.10546875,49810.8644594606,0.857421875,101.7359390258789,0.0,-101.7359390258789,84.295047969,240.10546875,0.0,0.0,,2095104.0,1774112423.338405,2095104.0,-0.8014674186706543,0.08313081413507462,0.0,0.0,0.0,0.0,0.0
253.142578125,50003.755117753084,0.9306640625,119.90266418457031,0.0,-119.90266418457031,99.206529724,253.142578125,0.0,0.0,"{'sha256': 'd3fe5f700fe957e1af62c0907af391705cc412df9550afd61a9d69667baff842', 'path': 'media/html/render_2349056_d3fe5f700fe957e1af62.html', 'size': 795805, '_type': 'html-file'}",2349056.0,1774112444.0504014,2349056.0,-1.2492197751998901,0.17178404331207275,0.0,0.0,0.0,0.0,0.0
363.552734375,50140.85638670232,0.884765625,101.61119842529297,0.0,-101.61119842529297,105.130691723,363.552734375,0.0,0.0,,2603008.0,1774112444.194314,2603008.0,-1.5308336019515991,0.28012269735336304,0.0,0.0,0.0,0.0,0.0
332.185546875,50210.30826703493,0.875,104.92495727539062,0.0,-104.92495727539062,110.940305071,332.185546875,0.0,0.0,,2856960.0,1774112449.9742093,2856960.0,-1.618788242340088,0.38743892312049866,0.0,0.0,0.0,0.0,0.0
310.27734375,49903.10290295319,0.716796875,97.39888763427734,0.0,-97.39888763427734,116.727810065,310.27734375,0.0,0.0,,3110912.0,1774112455.7838538,3110912.0,-1.6561243534088135,0.5035378336906433,0.0,0.0,0.0,0.0,0.0
