eval/episode_success,eval/episode_reward_survive,_runtime,training/sps,_step,training/critic_loss,step,training/log_alpha,eval/episode_reward_near,training/actor_loss,render,eval/episode_dist,training/entropy,eval/episode_success_easy,eval/episode_reward_ctrl,eval/episode_success_hard,_timestamp,eval/episode_success_any,eval/episode_reward,eval/episode_reward_dist,training/alpha_loss
,,30.604406809,,0.0,,,,,,"{'path': 'media/html/render_0_90ea38fb11328339efd6.html', 'size': 930701, '_type': 'html-file', 'sha256': '90ea38fb11328339efd65f4b19872154ef42ebdc20da90a99b667b67f28ea55f'}",,,,,,1774117141.839346,,,,
,,63.153434714,,1.0,,,,,,"{'path': 'media/html/render_1_23b3f0f8946d62a26f8d.html', 'size': 945921, '_type': 'html-file', 'sha256': '23b3f0f8946d62a26f8d616d8213c0ec01add11bb90cfb940a41dbecee2408a4'}",,,,,,1774117174.3884318,,,,
137.7509765625,0.0,69.058067573,16007.15722075247,1333248.0,0.03858301416039467,1333248.0,0.0,0.0,-0.7412359714508057,,177.92605590820312,0.0,0.0,0.0,0.0,1774117174.5540915,0.9208984375,137.7509765625,-177.92605590820312,0.0
505.076171875,0.0,74.780849356,50624.565268667844,1587200.0,0.18693174421787262,1587200.0,0.0,0.0,-2.2794439792633057,,71.81621551513672,0.0,0.0,0.0,0.0,1774117180.2924411,0.947265625,505.076171875,-71.81621551513672,0.0
553.9736328125,0.0,80.532331185,50723.90015112138,1841152.0,0.4561540186405182,1841152.0,0.0,0.0,-4.528188228607178,,57.02745819091797,0.0,0.0,0.0,0.0,1774117186.015218,0.947265625,553.9736328125,-57.02745819091797,0.0
700.9326171875,0.0,86.269800135,50489.756136924996,2095104.0,0.7555475234985352,2095104.0,0.0,0.0,-6.670682907104492,,46.022605895996094,0.0,0.0,0.0,0.0,1774117191.766941,0.8671875,700.9326171875,-46.022605895996094,0.0
849.5703125,0.0,101.246350131,50589.69865178443,2349056.0,1.2360976934432983,2349056.0,0.0,0.0,-9.193086624145508,"{'size': 841361, '_type': 'html-file', 'sha256': '9590785e1f34c8698a0f155161041886328931b159ab4fdd837c35494eed8a11', 'path': 'media/html/render_2349056_9590785e1f34c8698a0f.html'}",35.45083999633789,0.0,0.0,0.0,0.0,1774117212.481416,0.974609375,849.5703125,-35.45083999633789,0.0
751.94921875,0.0,107.145012182,50597.10267714085,2603008.0,1.699327826499939,2603008.0,0.0,0.0,-11.991945266723633,,40.27022171020508,0.0,0.0,0.0,0.0,1774117212.62913,0.8837890625,751.94921875,-40.27022171020508,0.0
812.044921875,0.0,112.87777592,50487.52329775964,2856960.0,2.1079049110412598,2856960.0,0.0,0.0,-14.848115921020508,,41.117835998535156,0.0,0.0,0.0,0.0,1774117218.379528,0.8701171875,812.044921875,-41.117835998535156,0.0
881.916015625,0.0,118.603203143,50644.021132804635,3110912.0,2.443047523498535,3110912.0,0.0,0.0,-18.043420791625977,,30.859973907470703,0.0,0.0,0.0,0.0,1774117224.1122334,0.9609375,881.916015625,-30.859973907470703,0.0
886.9736328125,0.0,124.333730292,50719.79165509365,3364864.0,2.7874107360839844,3364864.0,0.0,0.0,-20.779333114624023,,29.560640335083008,0.0,0.0,0.0,0.0,1774117229.8376167,0.9521484375,886.9736328125,-29.560640335083008,0.0
892.7392578125,0.0,139.30518176,50683.62408696241,3618816.0,3.0372376441955566,3618816.0,0.0,0.0,-23.432790756225586,"{'path': 'media/html/render_3618816_8a1ccbfcd99759bf6f45.html', 'size': 861793, '_type': 'html-file', 'sha256': '8a1ccbfcd99759bf6f45779188002316d87ee81791bdd13100342893d130d319'}",33.2583122253418,0.0,0.0,0.0,0.0,1774117250.5402238,0.94921875,892.7392578125,-33.2583122253418,0.0
891.9287109375,0.0,145.188140512,50414.93094390224,3872768.0,3.2858731746673584,3872768.0,0.0,0.0,-25.53679847717285,,29.98819923400879,0.0,0.0,0.0,0.0,1774117250.6875014,0.9716796875,891.9287109375,-29.98819923400879,0.0
912.4951171875,0.0,150.913267129,50648.28594540732,4126720.0,3.4029417037963867,4126720.0,0.0,0.0,-28.223121643066406,,28.832231521606445,0.0,0.0,0.0,0.0,1774117256.4225724,0.9560546875,912.4951171875,-28.832231521606445,0.0
928.455078125,0.0,156.651327784,50719.97037652327,4380672.0,3.5351169109344482,4380672.0,0.0,0.0,-29.70331382751465,,28.32430648803711,0.0,0.0,0.0,0.0,1774117262.1478624,0.98046875,928.455078125,-28.32430648803711,0.0
