_timestamp,training/entropy,eval/episode_reward,eval/episode_success,_runtime,training/actor_loss,training/critic_loss,step,eval/episode_dist,render,eval/episode_reward_survive,eval/episode_success_any,eval/episode_success_easy,training/alpha_loss,eval/episode_reward_near,eval/episode_success_hard,_step,training/sps,training/log_alpha,eval/episode_reward_dist,eval/episode_reward_ctrl
1773988854.352918,,,,44.109065991,,,,,"{'path': 'media/html/render_0_4c4794a031da68956d97.html', 'size': 4110217.0, '_type': 'html-file', 'sha256': '4c4794a031da68956d972a693747d77ab1334e2639bb9f3a1251707fbee473ea'}",,,,,,,0.0,,,,
1773988912.1254447,,,,101.881521962,,,,,"{'_type': 'html-file', 'sha256': '268ebcc23226b79d280cdaed689132878172da454cb1480a237e89e8fd1b6acc', 'path': 'media/html/render_1_268ebcc23226b79d280c.html', 'size': 4162949.0}",,,,,,,1.0,,,,
1773988912.3020973,0.0,1.818359375,1.818359375,114.384179058,-45.63856506347656,2.3818209171295166,1333248.0,2151.73095703125,,614.1708984375,0.0029296875,19.23046875,2.0347671508789062,0.0,0.0,1333248.0,9990.340759428125,0.0,0.0,-1480.903564453125
1773988924.6272137,0.0,0.9599609375,0.9599609375,126.690614828,-34.28404998779297,1.0447568893432617,1587200.0,1714.2086181640625,,506.9072265625,0.0029296875,20.28125,0.00555720180273056,0.0,0.0,1587200.0,27360.65930268986,0.0,0.0,-1205.326171875
1773988936.9338179,0.0,0.32421875,0.32421875,138.934764398,-21.588716506958008,0.34029248356819153,1841152.0,2603.3876953125,,760.1796875,0.00390625,25.501953125,0.0009492413373664021,0.0,0.0,1841152.0,27417.99756248861,0.0,0.0,-1660.96435546875
1773988949.1779134,0.0,0.6259765625,0.6259765625,151.207241591,-16.492164611816406,0.16569143533706665,2095104.0,2932.828857421875,,828.7890625,0.00390625,19.306640625,0.0003777214151341468,0.0,0.0,2095104.0,27573.692530847067,0.0,0.0,-1724.907958984375
1773988993.1911538,0.0,0.7041015625,0.7041015625,182.947260739,-14.072423934936523,0.11287346482276917,2349056.0,2978.08251953125,"{'path': 'media/html/render_2349056_ef4dcaf376f53dfda6e5.html', 'size': 4089909.0, '_type': 'html-file', 'sha256': 'ef4dcaf376f53dfda6e5ca3a4f2e55c361d7a4f48ea4a2294ed789eda881e85e'}",874.435546875,0.0029296875,31.3896484375,0.00019869027892127633,0.0,0.0,2349056.0,27572.62971927895,0.0,0.0,-1952.119384765625
1773988993.38054,0.0,0.076171875,0.076171875,195.370517057,-12.920849800109863,0.08727870881557465,2603008.0,2800.466064453125,,832.068359375,0.0009765625,16.9501953125,7.141082460293546e-05,0.0,0.0,2603008.0,27663.499965522948,0.0,0.0,-1745.456298828125
1773989005.613804,0.0,0.1396484375,0.1396484375,207.468778153,-13.94417667388916,0.07607074081897736,2856960.0,2868.8671875,,836.408203125,0.0009765625,20.3408203125,0.00014480817480944097,0.0,0.0,2856960.0,27691.768619363374,0.0,0.0,-1815.3360595703125
1773989017.711916,0.0,0.99609375,0.99609375,219.584583235,-15.456661224365234,0.0728234350681305,3110912.0,2641.20458984375,,777.00390625,0.001953125,29.9921875,3.856900366372429e-05,0.0,0.0,3110912.0,27959.61845545215,0.0,0.0,-1688.916015625
1773989029.8275816,0.0,0.669921875,0.669921875,231.63147056,-17.039934158325195,0.07311125844717026,3364864.0,2947.587158203125,,875.6357421875,0.0029296875,24.376953125,-4.763299148180522e-05,0.0,0.0,3364864.0,28051.56193732542,0.0,0.0,-1722.0528564453125
1773989073.74684,0.0,0.0078125,0.0078125,263.502971688,-18.625381469726562,0.074622243642807,3618816.0,2536.49267578125,"{'path': 'media/html/render_3618816_ef4d4e50c64e50c52c28.html', 'size': 4148401.0, '_type': 'html-file', 'sha256': 'ef4d4e50c64e50c52c281ee88fcf05191ad9c4679028e82e2daf4db22a53b1b0'}",749.75390625,0.0009765625,12.083984375,3.3273692679358646e-05,0.0,0.0,3618816.0,28120.594788742805,0.0,0.0,-1501.049072265625
1773989073.957554,0.0,0.0,0.0,275.759534421,-18.320802688598633,0.07200589030981064,3872768.0,2814.5712890625,,846.7744140625,0.0,27.3935546875,2.054750257229898e-05,0.0,0.0,3872768.0,28132.45813299959,0.0,0.0,-1785.400390625
1773989086.0026588,0.0,0.0,0.0,287.826640945,-18.962434768676758,0.07143355160951614,4126720.0,2952.326171875,,842.0849609375,0.0,11.5537109375,1.5562600310659036e-05,0.0,0.0,4126720.0,28135.717421167366,0.0,0.0,-1768.8133544921875
1773989098.069761,0.0,0.515625,0.515625,299.819399877,-19.17571449279785,0.06892488151788712,4380672.0,2597.615234375,,762.208984375,0.0009765625,23.7802734375,-1.7512784324935637e-05,0.0,0.0,4380672.0,28190.53079349845,0.0,0.0,-1638.009765625
1773989110.0625396,0.0,0.0068359375,0.0068359375,311.88128575,-19.675561904907227,0.06859949231147766,4634624.0,2873.36962890625,,833.78125,0.0009765625,5.7041015625,3.947456207242794e-05,0.0,0.0,4634624.0,28282.825668147547,0.0,0.0,-1802.69384765625
1773989153.6094615,0.0,0.0,0.0,343.365518791,-19.456695556640625,0.06852853298187256,4888576.0,2450.281494140625,"{'_type': 'html-file', 'sha256': '76779fb3258b156f00c8b5fe3046831a77f59787e01c70826c0a9365aa5e36a2', 'path': 'media/html/render_4888576_76779fb3258b156f00c8.html', 'size': 4055709.0}",727.3857421875,0.0,11.1826171875,1.7883163309306838e-05,0.0,0.0,4888576.0,28212.79920394569,0.0,0.0,-1520.288330078125
