training/entropy,eval/episode_dist,_runtime,eval/episode_reward_near,step,eval/episode_reward_survive,_step,_timestamp,eval/episode_success_hard,eval/episode_reward,eval/episode_reward_dist,eval/episode_success,render,eval/episode_success_any,training/log_alpha,training/critic_loss,eval/episode_success_easy,training/alpha_loss,eval/episode_reward_ctrl,training/sps,training/actor_loss
,,27.783619385,,,,0.0,1773906295.7331936,,,,,"{'path': 'media/html/render_0_19f5c75ce4b4e7c863d4.html', 'size': 948709, '_type': 'html-file', 'sha256': '19f5c75ce4b4e7c863d49ef79d946fc98f385e7805790b97d74824cad4e8a6d5'}",,,,,,,,
,,63.736737248,,,,1.0,1773906331.6863873,,,,,"{'path': 'media/html/render_1_5ce9542f85bb5bb47ea9.html', 'size': 935985, '_type': 'html-file', 'sha256': '5ce9542f85bb5bb47ea9b6e4ffd325c0a2e76f7c179b6f76c5716b68b4fa84d4'}",,,,,,,,
0.0,145.07542419433594,71.388671689,0.0,1333248.0,0.0,1333248.0,1773906331.851345,0.0,123.0966796875,-145.07542419433594,123.0966796875,,0.83984375,0.0,0.08051912486553192,0.0,0.544556200504303,0.0,12586.439545552763,-6.76649808883667
0.0,98.9168701171875,79.208320754,0.0,1587200.0,0.0,1587200.0,1773906339.3379261,0.0,267.62890625,-98.9168701171875,267.62890625,,0.478515625,0.0,0.0305714663118124,0.0,0.0066025336273014545,0.0,37536.150330685094,-4.4715142250061035
0.0,86.26411437988281,87.320304083,0.0,1841152.0,0.0,1841152.0,1773906347.157531,0.0,313.7412109375,-86.26411437988281,313.7412109375,,0.66015625,0.0,0.05547454580664635,0.0,-4.392219489091076e-05,0.0,35783.02792673675,-4.472068786621094
0.0,84.31228637695312,95.363123079,0.0,2095104.0,0.0,2095104.0,1773906355.2694845,0.0,412.953125,-84.31228637695312,412.953125,,0.7900390625,0.0,0.15617886185646057,0.0,-9.494370897300541e-05,0.0,34358.48927066426,-6.843655586242676
0.0,107.6702651977539,112.779709358,0.0,2349056.0,0.0,2349056.0,1773906380.7292802,0.0,323.53125,-107.6702651977539,323.53125,"{'path': 'media/html/render_2349056_14f72ae4057a36f198e8.html', 'size': 918677, '_type': 'html-file', 'sha256': '14f72ae4057a36f198e8ae608f57224db859e4f0f8237005430d55b825747276'}",0.8154296875,0.0,0.32498857378959656,0.0,-0.00020173304073978215,0.0,34681.86690411512,-13.600272178649902
0.0,65.12713623046875,120.962158266,0.0,2603008.0,0.0,2603008.0,1773906380.8883889,0.0,491.087890625,-65.12713623046875,491.087890625,,0.8271484375,0.0,0.39745792746543884,0.0,-0.0001630037440918386,0.0,34865.98573258179,-20.04973030090332
0.0,54.43660354614258,129.111490814,0.0,2856960.0,0.0,2856960.0,1773906388.911415,0.0,612.7724609375,-54.43660354614258,612.7724609375,,0.802734375,0.0,0.4916544556617737,0.0,-0.0002240949688712135,0.0,34810.920462245325,-25.59337615966797
0.0,55.439735412597656,137.204869595,0.0,3110912.0,0.0,3110912.0,1773906397.060632,0.0,634.66796875,-55.439735412597656,634.66796875,,0.7705078125,0.0,0.6128954887390137,0.0,-0.0002563756424933672,0.0,34192.36673284273,-28.660274505615234
0.0,50.465248107910156,145.249697639,0.0,3364864.0,0.0,3364864.0,1773906405.1539824,0.0,709.8701171875,-50.465248107910156,709.8701171875,,0.8662109375,0.0,0.8170548677444458,0.0,-0.00020424116519279778,0.0,34454.461462600375,-32.72090530395508
0.0,45.32367706298828,162.69118879,0.0,3618816.0,0.0,3618816.0,1773906430.640825,0.0,703.8154296875,-45.32367706298828,703.8154296875,"{'path': 'media/html/render_3618816_f5617745c247df3dcdfa.html', 'size': 911473, '_type': 'html-file', 'sha256': 'f5617745c247df3dcdfac79ad4cf2e3d74b9eca2af029f2e55df088137f4e298'}",0.8310546875,0.0,1.0129653215408325,0.0,-0.00013624326675198972,0.0,34678.93446759278,-39.236080169677734
0.0,44.40005111694336,171.001695514,0.0,3872768.0,0.0,3872768.0,1773906430.8044393,0.0,740.43359375,-44.40005111694336,740.43359375,,0.83203125,0.0,1.1012178659439087,0.0,5.098547990201041e-05,0.0,34518.09066567217,-43.90241241455078
