eval/episode_reward_survive,training/critic_loss,training/sps,_runtime,eval/episode_reward_near,training/log_alpha,render,eval/episode_dist,training/actor_loss,training/entropy,eval/episode_reward,step,_timestamp,eval/episode_reward_ctrl,eval/episode_success_any,eval/episode_success_hard,eval/episode_success,eval/episode_success_easy,training/alpha_loss,eval/episode_reward_dist,_step
,,,27.660985813,,,"{'path': 'media/html/render_0_4798b9fc1dcc03db77b9.html', 'size': 944253, '_type': 'html-file', 'sha256': '4798b9fc1dcc03db77b98ada7a379c5e66c3910540923fd5b17bf603b7aab266'}",,,,,,1773895900.594247,,,,,,,,0.0
,,,64.145303897,,,"{'path': 'media/html/render_1_599ef91e86c0550c46cf.html', 'size': 934661, '_type': 'html-file', 'sha256': '599ef91e86c0550c46cffbd6afe42916567c23968e95ef20586462af4ff2629f'}",,,,,,1773895937.0785728,,,,,,,,1.0
0.0,0.042137086391448975,12489.98439535086,71.816856866,0.0,0.0,,111.23251342773438,-15.564558982849121,0.0,310.4326171875,1333248.0,1773895937.235805,0.0,0.9404296875,0.0,310.4326171875,0.0,0.580060601234436,-111.23251342773438,1333248.0
0.0,0.07782838493585587,37392.69088749656,79.659650418,0.0,0.0,,85.94667053222656,-12.634612083435059,0.0,377.7529296875,1587200.0,1773895944.7495637,0.0,0.8349609375,0.0,377.7529296875,0.0,0.006537473760545254,-85.94667053222656,1587200.0
0.0,0.20511092245578766,35649.691401637014,87.789076839,0.0,0.0,,74.62226104736328,-9.933116912841797,0.0,475.5869140625,1841152.0,1773895952.592539,0.0,0.7353515625,0.0,475.5869140625,0.0,-0.0002791803563013673,-74.62226104736328,1841152.0
0.0,0.4593487083911896,34283.34070801772,95.816584767,0.0,0.0,,62.22401809692383,-11.139742851257324,0.0,536.8046875,2095104.0,1773895960.7216678,0.0,0.775390625,0.0,536.8046875,0.0,-0.0003387841861695051,-62.22401809692383,2095104.0
0.0,0.8691250085830688,34756.441666123916,112.646141802,0.0,0.0,"{'path': 'media/html/render_2349056_f58c78eb359555ce7676.html', 'size': 912733, '_type': 'html-file', 'sha256': 'f58c78eb359555ce76766d73c1a2d8edf80595b645ad726c07ea680b5da8c218'}",58.60319519042969,-16.96662139892578,0.0,654.78125,2349056.0,1773895985.5795078,0.0,0.8623046875,0.0,654.78125,0.0,-0.0004241510760039091,-58.60319519042969,2349056.0
0.0,1.3093338012695312,34716.48949358309,120.850640634,0.0,0.0,,44.30949401855469,-24.499788284301758,0.0,775.53515625,2603008.0,1773895985.7366548,0.0,0.95703125,0.0,775.53515625,0.0,-0.00017750888946466148,-44.30949401855469,2603008.0
0.0,1.5045554637908936,34679.807258819324,129.004234722,0.0,0.0,,39.42151641845703,-32.748863220214844,0.0,807.3427734375,2856960.0,1773895993.7835681,0.0,0.9658203125,0.0,807.3427734375,0.0,-0.00012962010805495083,-39.42151641845703,2856960.0
0.0,1.5630594491958618,34170.31467745144,137.11107489,0.0,0.0,,31.850486755371094,-38.05539321899414,0.0,860.6787109375,3110912.0,1773896001.9367564,0.0,0.970703125,0.0,860.6787109375,0.0,3.9276103052543476e-05,-31.850486755371094,3110912.0
0.0,1.5950489044189453,34380.0869433302,145.165218985,0.0,0.0,,31.694168090820312,-44.889808654785156,0.0,848.708984375,3364864.0,1773896010.0438182,0.0,0.978515625,0.0,848.708984375,0.0,4.562567482935265e-05,-31.694168090820312,3364864.0
0.0,1.6052626371383667,34636.40503297631,162.633413732,0.0,0.0,"{'path': 'media/html/render_3618816_1766c0ca7925ba580167.html', 'size': 907017, '_type': 'html-file', 'sha256': '1766c0ca7925ba58016791c9a4f088aa5863380c8ec2d0da63393fbd54ee5568'}",31.502687454223633,-50.447322845458984,0.0,867.22265625,3618816.0,1773896035.5668108,0.0,0.9638671875,0.0,867.22265625,0.0,-6.895959927533113e-07,-31.502687454223633,3618816.0
0.0,1.580424189567566,34361.16601902685,170.94294954,0.0,0.0,,25.112201690673828,-55.507568359375,0.0,910.0966796875,3872768.0,1773896035.7199097,0.0,0.9892578125,0.0,910.0966796875,0.0,3.0824918212601915e-05,-25.112201690673828,3872768.0
0.0,1.546008825302124,34175.82063801362,179.061723974,0.0,0.0,,27.083663940429688,-57.65684509277344,0.0,908.50390625,4126720.0,1773896043.875791,0.0,0.98828125,0.0,908.50390625,0.0,7.899177580839023e-05,-27.083663940429688,4126720.0
0.0,1.459789514541626,34319.8409992925,187.164851892,0.0,0.0,,25.791757583618164,-62.329620361328125,0.0,933.001953125,4380672.0,1773896051.9944718,0.0,0.998046875,0.0,933.001953125,0.0,4.97671753691975e-05,-25.791757583618164,4380672.0
0.0,1.483117699623108,34403.12514792445,195.282056365,0.0,0.0,,26.801063537597656,-64.89636993408203,0.0,929.67578125,4634624.0,1773896060.0976212,0.0,0.994140625,0.0,929.67578125,0.0,-1.4531147485286056e-07,-26.801063537597656,4634624.0
0.0,1.3809467554092407,34346.82174709911,212.412976503,0.0,0.0,"{'path': 'media/html/render_4888576_34e8f56c11c9bd7c23d3.html', 'size': 908729, '_type': 'html-file', 'sha256': '34e8f56c11c9bd7c23d3108b20c9c0da39db5a96ef944dcda070914c4d0f4fe0'}",24.018089294433594,-68.01644897460938,0.0,947.75390625,4888576.0,1773896085.3463426,0.0,0.9990234375,0.0,947.75390625,0.0,8.476250513922423e-05,-24.018089294433594,4888576.0
0.0,1.3613927364349365,33962.75105760549,220.749440829,0.0,0.0,,22.710758209228516,-70.13581848144531,0.0,947.8544921875,5142528.0,1773896085.4958181,0.0,1.0,0.0,947.8544921875,0.0,0.00014139035192783922,-22.710758209228516,5142528.0
0.0,1.2840620279312134,34029.35613109254,228.868518164,0.0,0.0,,26.3192138671875,-71.88484954833984,0.0,937.61328125,5396480.0,1773896093.6823306,0.0,0.998046875,0.0,937.61328125,0.0,-5.099569898447953e-05,-26.3192138671875,5396480.0
0.0,1.2458032369613647,34324.6298079371,237.017360498,0.0,0.0,,24.53439712524414,-73.75688171386719,0.0,962.98046875,5650432.0,1773896101.8013055,0.0,1.0,0.0,962.98046875,0.0,6.578081956831738e-05,-24.53439712524414,5650432.0
0.0,1.172746181488037,34198.9031329466,245.20180662,0.0,0.0,,24.622886657714844,-75.65186309814453,0.0,948.8505859375,5904384.0,1773896109.9499307,0.0,0.9990234375,0.0,948.8505859375,0.0,8.35416722111404e-05,-24.622886657714844,5904384.0
0.0,1.0826534032821655,34028.54512447352,262.522232141,0.0,0.0,"{'path': 'media/html/render_6158336_4a8c77a4e79f64ecac4f.html', 'size': 909281, '_type': 'html-file', 'sha256': '4a8c77a4e79f64ecac4fe338b1578eb1513c27092a7440077d61d7df6df28376'}",24.271129608154297,-77.51547241210938,0.0,955.6806640625,6158336.0,1773896135.4555886,0.0,1.0,0.0,955.6806640625,0.0,4.627492671716027e-05,-24.271129608154297,6158336.0
0.0,1.0304250717163086,34061.736629293104,270.830313876,0.0,0.0,,21.079238891601562,-78.5126724243164,0.0,959.1953125,6412288.0,1773896135.6018178,0.0,1.0,0.0,959.1953125,0.0,5.6079043133649975e-05,-21.079238891601562,6412288.0
0.0,0.9865446090698242,34164.86309102117,278.99730919,0.0,0.0,,21.372032165527344,-79.6608657836914,0.0,964.044921875,6666240.0,1773896143.7632241,0.0,1.0,0.0,964.044921875,0.0,7.382669718936086e-05,-21.372032165527344,6666240.0
0.0,0.9729557633399963,34107.5679154714,287.207743699,0.0,0.0,,20.87018585205078,-80.56144714355469,0.0,963.5546875,6920192.0,1773896151.9299574,0.0,1.0,0.0,963.5546875,0.0,5.3217383538139984e-05,-20.87018585205078,6920192.0
0.0,0.9600343704223633,33914.10484236456,295.410298964,0.0,0.0,,23.832111358642578,-80.4983139038086,0.0,950.205078125,7174144.0,1773896160.14039,0.0,1.0,0.0,950.205078125,0.0,8.374204480787739e-05,-23.832111358642578,7174144.0
0.0,0.9015859961509705,33946.21650888123,312.967353586,0.0,0.0,"{'path': 'media/html/render_7428096_542e9d5347cf0daa88b2.html', 'size': 908681, '_type': 'html-file', 'sha256': '542e9d5347cf0daa88b29bdb6ba05a3f3b778794435a13eba2668942024b85df'}",21.031108856201172,-81.73674774169922,0.0,964.16015625,7428096.0,1773896185.9007254,0.0,0.9990234375,0.0,964.16015625,0.0,-7.244890002766624e-05,-21.031108856201172,7428096.0
0.0,0.8299345970153809,34116.07803710307,321.271829013,0.0,0.0,,22.43152618408203,-83.10464477539062,0.0,966.8623046875,7682048.0,1773896186.062532,0.0,1.0,0.0,966.8623046875,0.0,0.00014597956032957882,-22.43152618408203,7682048.0
0.0,0.8134672045707703,34238.78378964017,329.475717574,0.0,0.0,,21.371400833129883,-83.66251373291016,0.0,961.5498046875,7936000.0,1773896194.2046552,0.0,1.0,0.0,961.5498046875,0.0,1.61232801474398e-05,-21.371400833129883,7936000.0
0.0,0.7907631993293762,33946.0271843727,337.633522979,0.0,0.0,,22.765789031982422,-83.92998504638672,0.0,965.0107421875,8189952.0,1773896202.4077506,0.0,1.0,0.0,965.0107421875,0.0,2.278489773743786e-05,-22.765789031982422,8189952.0
0.0,0.7419394850730896,34150.58147928264,345.807712099,0.0,0.0,,21.554542541503906,-84.83358764648438,0.0,964.103515625,8443904.0,1773896210.5662653,0.0,1.0,0.0,964.103515625,0.0,8.915278885979205e-05,-21.554542541503906,8443904.0
0.0,0.7249464392662048,34079.88534307408,362.89012077,0.0,0.0,"{'sha256': '25f100c9a55b4ed78817f343fec8f7e5bb799e7fea440e96632666f934a60393', 'path': 'media/html/render_8697856_25f100c9a55b4ed78817.html', 'size': 907905, '_type': 'html-file'}",22.61037254333496,-85.13594055175781,0.0,966.4033203125,8697856.0,1773896235.8234973,0.0,1.0,0.0,966.4033203125,0.0,1.2774970855389256e-05,-22.61037254333496,8697856.0
0.0,0.7238444089889526,34127.51056658135,371.254216416,0.0,0.0,,21.033588409423828,-85.61557006835938,0.0,964.91015625,8951808.0,1773896235.9753823,0.0,1.0,0.0,964.91015625,0.0,1.668567711021751e-05,-21.033588409423828,8951808.0
0.0,0.6623474359512329,33910.54074913398,379.484873478,0.0,0.0,,22.658897399902344,-86.46708679199219,0.0,968.0224609375,9205760.0,1773896244.186992,0.0,1.0,0.0,968.0224609375,0.0,3.872186061926186e-05,-22.658897399902344,9205760.0
0.0,0.6870543360710144,33812.03466975733,387.694281187,0.0,0.0,,20.3447265625,-86.0794448852539,0.0,967.294921875,9459712.0,1773896252.4176545,0.0,1.0,0.0,967.294921875,0.0,-3.924567499780096e-05,-20.3447265625,9459712.0
