_runtime,eval/episode_success_any,training/log_alpha,eval/episode_reward,training/alpha_loss,render,_timestamp,eval/episode_success_easy,_step,eval/episode_success_hard,eval/episode_dist,training/entropy,training/actor_loss,eval/episode_reward_dist,training/critic_loss,training/sps,eval/episode_reward_survive,eval/episode_reward_near,eval/episode_reward_ctrl,step,eval/episode_success
65.842933629,,,,,"{'size': 3890829.0, '_type': 'html-file', 'sha256': 'bba85a4a5a881a669770211fe6fd23896148679ffbcabf4f1515e7e8fac1dccc', 'path': 'media/html/render_0_bba85a4a5a881a669770.html'}",1773609493.8805962,,0.0,,,,,,,,,,,,
160.434739371,,,,,"{'path': 'media/html/render_1_337e19b70c77c617a72e.html', 'size': 3846193.0, '_type': 'html-file', 'sha256': '337e19b70c77c617a72eb68745f86870c948a68677480e48be3b0c5a28559cf1'}",1773609588.472485,,1.0,,,,,,,,,,,,
183.529453605,0.0,0.0,0.0,2.1073336601257324,,1773609588.6638873,1.2431640625,1333248.0,0.0,6590.46826171875,0.0,-41.606224060058594,0.0,1.1235439777374268,9111.24256485775,821.32421875,0.0,-1743.0635986328125,1333248.0,0.0
206.678222184,0.0009765625,0.0,0.013671875,0.013522109016776085,,1773609611.5664904,3.740234375,1587200.0,0.0,4526.4208984375,0.0,-29.32854461669922,0.0,0.33581385016441345,29040.486191323067,597.853515625,0.0,-1218.92626953125,1587200.0,0.013671875
229.653232649,0.0,0.0,0.0,0.0005029941676184535,,1773609634.7145944,0.380859375,1841152.0,0.0,7310.2421875,0.0,-14.078485488891602,0.0,0.08562957495450974,29010.245377188898,892.4755859375,0.0,-1757.15185546875,1841152.0,0.0
252.797981182,0.0,0.0,0.0,0.0002000190143007785,,1773609657.690161,0.38671875,2095104.0,0.0,8313.611328125,0.0,-6.3286004066467285,0.0,0.02070171758532524,29083.098068911924,959.2265625,0.0,-1905.012451171875,2095104.0,0.0
302.543409929,0.0009765625,0.0,0.0263671875,0.0001008629405987449,"{'sha256': '207f425642d35b3e9319481e1db4f1c3feab4f34c6457c8d7efbf144d55939c9', 'path': 'media/html/render_2349056_207f425642d35b3e9319.html', 'size': 3849781.0, '_type': 'html-file'}",1773609730.581163,1.5224609375,2349056.0,0.0,7376.2880859375,0.0,-2.79683256149292,0.0,0.004739474970847368,29067.890464337954,963.9306640625,0.0,-1936.916015625,2349056.0,0.0263671875
325.813344236,0.0,0.0,0.0,3.183775334036909e-05,,1773609730.7661166,3.537109375,2603008.0,0.0,6784.42724609375,0.0,-1.2088208198547363,0.0,0.0013377099530771375,29255.183530817947,896.84375,0.0,-1719.753173828125,2603008.0,0.0
348.764420081,0.0,0.0,0.0,1.3825186215399299e-05,,1773609753.8504002,0.42578125,2856960.0,0.0,7800.00048828125,0.0,-0.5525700449943542,0.0,0.0005311831482686102,28903.680954726384,928.1298828125,0.0,-1869.2880859375,2856960.0,0.0
371.810008554,0.0048828125,0.0,0.861328125,-9.513089935353491e-06,,1773609776.8014655,14.4580078125,3110912.0,0.0,5924.548828125,0.0,-0.35932472348213196,0.0,0.0007164092385210097,29222.22355028577,681.2998046875,0.0,-1168.22802734375,3110912.0,0.861328125
394.659792016,0.0,0.0,0.0,8.647655249660602e-07,,1773609799.8471918,24.3232421875,3364864.0,0.0,6620.0107421875,0.0,-0.33368033170700073,0.0,0.0008291712729260325,29046.732975983112,820.14453125,0.0,-1759.03564453125,3364864.0,0.0
