eval/episode_reward_near,eval/episode_reward_survive,_runtime,eval/episode_success_any,_timestamp,render,step,training/sps,eval/episode_success_easy,_step,eval/episode_reward_dist,training/alpha_loss,eval/episode_success_hard,eval/episode_reward,training/entropy,eval/episode_reward_ctrl,training/critic_loss,eval/episode_success,eval/episode_dist,training/log_alpha,training/actor_loss
,,65.868981315,,1773615279.9464571,"{'size': 3884965.0, '_type': 'html-file', 'sha256': '906d664bb98d0da6b8df6856f72c1a96daf795e5e0bc581ae7df583f70976ce4', 'path': 'media/html/render_0_906d664bb98d0da6b8df.html'}",,,,0.0,,,,,,,,,,,
,,160.892901917,,1773615374.9704728,"{'size': 3888013.0, '_type': 'html-file', 'sha256': '58fc53e1cf0adb0e97d80016a1978a6962f5940e93d2fbd0586a1f8bb8607b07', 'path': 'media/html/render_1_58fc53e1cf0adb0e97d8.html'}",,,,1.0,,,,,,,,,,,
0.0,439.7314453125,183.98716301,0.0068359375,1773615375.1668491,,1333248.0,9039.301295013925,6.16796875,1333248.0,0.0,1.9729044437408447,0.0,0.232421875,0.0,-868.4886474609375,0.861939013004303,0.232421875,3556.82177734375,0.0,-35.5654182434082
0.0,736.73828125,207.128408657,0.01171875,1773615398.0641859,,1587200.0,29062.513950282086,9.556640625,1587200.0,0.0,0.016896797344088554,0.0,0.525390625,0.0,-1549.25830078125,0.37011343240737915,0.525390625,6122.0673828125,0.0,-28.927846908569336
0.0,877.0791015625,230.094806789,0.0205078125,1773615421.204798,,1841152.0,29037.419218187515,41.5068359375,1841152.0,0.0,0.00047663928125984967,0.0,2.2822265625,0.0,-1715.4527587890625,0.08426466584205627,2.2822265625,6557.18115234375,0.0,-15.014729499816895
0.0,762.8525390625,253.236469021,0.0654296875,1773615444.1718047,,2095104.0,29119.25341466826,48.6943359375,2095104.0,0.0,0.00011618871212704107,0.0,5.26953125,0.0,-1558.43212890625,0.01824347674846649,5.26953125,6154.99169921875,0.0,-7.134094715118408
0.0,957.9140625,303.149079577,0.0,1773615517.2265964,"{'size': 3842545.0, '_type': 'html-file', 'sha256': '39fd3bb02d25e0b941120c32ee17e4c956a4aa01f1d5f6489f1cde042b6287e0', 'path': 'media/html/render_2349056_39fd3bb02d25e0b94112.html'}",2349056.0,29086.111158965126,1.2724609375,2349056.0,0.0,5.367012636270374e-05,0.0,0.0,0.0,-1957.8446044921875,0.006169499363750219,0.0,7967.83837890625,0.0,-3.3458235263824463
0.0,762.751953125,326.417121608,0.001953125,1773615517.410957,,2603008.0,29293.517983091442,10.705078125,2603008.0,0.0,2.042029518634081e-05,0.0,0.015625,0.0,-1480.044921875,0.004204391501843929,0.015625,6292.2265625,0.0,-1.7263017892837524
0.0,745.8935546875,349.35562583,0.009765625,1773615540.4940464,,2856960.0,28922.36382436305,22.658203125,2856960.0,0.0,4.0801878640195355e-06,0.0,0.974609375,0.0,-1509.955810546875,0.004905920010060072,0.974609375,6038.7119140625,0.0,-1.1091978549957275
0.0,752.041015625,372.397645381,0.0,1773615563.432491,,3110912.0,29246.1716703712,6.4287109375,3110912.0,0.0,-3.682946953631472e-06,0.0,0.0,0.0,-1461.608154296875,0.006965506821870804,0.0,6007.56787109375,0.0,-0.90089350938797
0.0,719.7138671875,395.237325601,0.005859375,1773615586.4741075,,3364864.0,29069.381076080725,6.677734375,3364864.0,0.0,7.887073479651008e-06,0.0,2.1474609375,0.0,-1438.37158203125,0.008538647554814816,2.1474609375,5936.748046875,0.0,-0.858690619468689
