eval/episode_reward_near,training/alpha_loss,render,eval/episode_success_hard,training/sps,training/actor_loss,eval/episode_reward_ctrl,training/entropy,_timestamp,training/log_alpha,_step,eval/episode_dist,training/critic_loss,step,eval/episode_success,_runtime,eval/episode_reward_dist,eval/episode_success_easy,eval/episode_reward,eval/episode_success_any,eval/episode_reward_survive
,,"{'path': 'media/html/render_0_c520f8b0869382b1ceab.html', 'size': 3876037.0, '_type': 'html-file', 'sha256': 'c520f8b0869382b1ceabd5ab9e59b424433306eb81a18a1c4d1847c59b14c94a'}",,,,,,1773626846.047081,,0.0,,,,,66.343874434,,,,,
,,"{'path': 'media/html/render_1_30b51122e88013ebca5c.html', 'size': 3879629.0, '_type': 'html-file', 'sha256': '30b51122e88013ebca5ce1c53f4e115a336e1d773b55b0214bd071d2d892281e'}",,,,,,1773626941.0097392,,1.0,,,,,161.306325491,,,,,
0.0,2.2242705821990967,,0.0,9039.604160564742,-54.024452209472656,-1651.16650390625,0.0,1773626941.2019093,0.0,1333248.0,7426.9111328125,0.35952669382095337,1333248.0,4.767578125,184.394905856,0.0,65.5546875,4.767578125,0.087890625,963.3642578125
0.0,0.03735306113958359,,0.0,29075.133938311963,-35.54521942138672,-1746.3282470703125,0.0,1773626964.0976636,0.0,1587200.0,6334.75927734375,0.1349344253540039,1587200.0,0.259765625,207.548667312,0.0,12.9189453125,0.259765625,0.00390625,775.767578125
0.0,0.0002690127585083246,,0.0,29003.044460854468,-16.800966262817383,-1623.0201416015625,0.0,1773626987.2508547,0.0,1841152.0,5421.0732421875,0.032747961580753326,1841152.0,0.943359375,230.528101126,0.0,21.5029296875,0.943359375,0.017578125,753.98828125
0.0,7.103316602297127e-05,,0.0,29076.972953890632,-7.8475823402404785,-1657.4578857421875,0.0,1773627010.2309973,0.0,2095104.0,6331.6669921875,0.009359077550470829,2095104.0,1.244140625,253.680245356,0.0,35.623046875,1.244140625,0.0185546875,769.271484375
0.0,3.119423854514025e-05,"{'sha256': '9a5e90595f5f6da9f35e610b4ddc32208ecf5ed7f3af10b40b281653bf12fd59', 'path': 'media/html/render_2349056_9a5e90595f5f6da9f35e.html', 'size': 3856113.0, '_type': 'html-file'}",0.0,29059.868854952892,-3.8754994869232178,-1798.997802734375,0.0,1773627083.7104378,0.0,2349056.0,6909.31005859375,0.004962303210049868,2349056.0,0.19140625,304.007037851,0.0,3.21875,0.19140625,0.0029296875,858.1162109375
0.0,4.742631972476374e-06,,0.0,29245.38071679734,-2.1608643531799316,-1716.925537109375,0.0,1773627083.902071,0.0,2603008.0,6456.85595703125,0.004597214516252279,2603008.0,1.6376953125,327.271786147,0.0,27.1767578125,1.6376953125,0.005859375,841.21875
0.0,1.3639169083035085e-06,,0.0,28957.859013007863,-1.5689375400543213,-1494.146728515625,0.0,1773627106.9743698,0.0,2856960.0,5701.9873046875,0.006742857862263918,2856960.0,1.099609375,350.223491714,0.0,12.22265625,1.099609375,0.01171875,749.0693359375
0.0,-1.8412730469208327e-06,,0.0,29237.489584305204,-1.383065938949585,-1440.23291015625,0.0,1773627129.9260046,0.0,3110912.0,5756.53125,0.00884468574076891,3110912.0,15.064453125,373.268408161,0.0,52.3427734375,15.064453125,0.0712890625,721.1689453125
