eval/episode_reward_near,_timestamp,training/alpha_loss,step,_step,training/log_alpha,training/entropy,eval/episode_success_any,eval/episode_dist,eval/episode_success_easy,eval/episode_success_hard,training/actor_loss,eval/episode_reward_dist,eval/episode_reward_ctrl,render,training/sps,_runtime,eval/episode_success,training/critic_loss,eval/episode_reward_survive,eval/episode_reward
,1773450440.9166958,,,0.0,,,,,,,,,,"{'_type': 'html-file', 'sha256': '4798b9fc1dcc03db77b98ada7a379c5e66c3910540923fd5b17bf603b7aab266', 'path': 'media/html/render_0_4798b9fc1dcc03db77b9.html', 'size': 944253}",,26.698279769,,,,
,1773450474.8058407,,,1.0,,,,,,,,,,"{'sha256': '841c4cab22eb2c1768e7c60cdc076f348a761fa50cd870146b57b10ff90d326c', 'path': 'media/html/render_1_841c4cab22eb2c1768e7.html', 'size': 939185, '_type': 'html-file'}",,60.587223762,,,,
0.0,1773450474.9505444,0.5786073207855225,1333248.0,1333248.0,0.0,0.0,0.8935546875,103.99591827392578,0.0,0.0,-15.91720199584961,-103.99591827392578,0.0,,14064.408332035697,66.656396631,214.669921875,0.048198748379945755,0.0,214.669921875
0.0,1773450480.8739076,0.005449178162962198,1587200.0,1587200.0,0.0,0.0,0.8544921875,84.80164337158203,0.0,0.0,-13.9532470703125,-84.80164337158203,0.0,,48786.2314661314,72.59536896,419.9638671875,0.10908588767051697,0.0,419.9638671875
0.0,1773450486.813431,-0.00027680493076331913,1841152.0,1841152.0,0.0,0.0,0.7021484375,73.27332305908203,0.0,0.0,-12.38669204711914,-73.27332305908203,0.0,,48654.4682143433,78.530294132,423.275390625,0.3265257477760315,0.0,423.275390625
0.0,1773450492.7483246,-0.00036254446604289114,2095104.0,2095104.0,0.0,0.0,0.8681640625,51.72161865234375,0.0,0.0,-13.782244682312012,-51.72161865234375,0.0,,48690.50317718512,84.47084427,656.4052734375,0.6786611676216125,0.0,656.4052734375
0.0,1773450513.526173,-0.00028347186162136495,2349056.0,2349056.0,0.0,0.0,0.9091796875,47.22511672973633,0.0,0.0,-17.994619369506836,-47.22511672973633,0.0,"{'path': 'media/html/render_2349056_2a48ce61e637486c6f38.html', 'size': 910285, '_type': 'html-file', 'sha256': '2a48ce61e637486c6f3817c56ee8ff95944b05c797bf42c061a13ac9197c8ed0'}",48644.466978930264,99.307617108,720.9501953125,1.1462172269821167,0.0,720.9501953125
0.0,1773450513.670065,-0.00020102635608054698,2603008.0,2603008.0,0.0,0.0,0.9267578125,50.256080627441406,0.0,0.0,-23.213336944580078,-50.256080627441406,0.0,,48575.273294222665,105.386463203,693.0869140625,1.5012909173965454,0.0,693.0869140625
0.0,1773450519.6046479,-6.792532076360658e-05,2856960.0,2856960.0,0.0,0.0,0.9541015625,41.91554260253906,0.0,0.0,-30.077478408813477,-41.91554260253906,0.0,,48739.69299781412,111.33071037,749.3193359375,1.7716480493545532,0.0,749.3193359375
0.0,1773450525.5487213,-8.258261368609965e-05,3110912.0,3110912.0,0.0,0.0,0.98046875,36.16949462890625,0.0,0.0,-35.74866485595703,-36.16949462890625,0.0,,48620.153206411596,117.279520495,796.02734375,1.8849883079528809,0.0,796.02734375
