eval/episode_success_easy,training/critic_loss,_timestamp,training/sps,eval/episode_success_hard,eval/episode_reward_survive,render,eval/episode_success_any,eval/episode_reward_dist,step,eval/episode_success,eval/episode_dist,eval/episode_reward_ctrl,training/actor_loss,training/alpha_loss,_runtime,eval/episode_reward,eval/episode_reward_near,_step,training/entropy,training/log_alpha
,,1773452056.7014837,,,,"{'path': 'media/html/render_0_18d4eaa15d5cbd19af12.html', 'size': 942813, '_type': 'html-file', 'sha256': '18d4eaa15d5cbd19af12847874668a57a965d9feef13eea853695518caebc03e'}",,,,,,,,,26.783744036999998,,,0.0,,
,,1773452090.7015922,,,,"{'path': 'media/html/render_1_625d9bc23a2da578c157.html', 'size': 939933, '_type': 'html-file', 'sha256': '625d9bc23a2da578c157658cfecc6fd87f8b360bcb942ce68a425e76d646344c'}",,,,,,,,,60.783778986,,,1.0,,
0.0,0.06278736144304276,1773452090.852421,14095.604132670558,0.0,0.0,,0.8076171875,-124.92461395263672,1333248.0,211.0830078125,124.92461395263672,0.0,-14.988228797912598,0.5765107870101929,66.798491629,211.0830078125,0.0,1333248.0,0.0,0.0
0.0,0.1444697082042694,1773452096.7152305,49368.29822579879,0.0,0.0,,0.794921875,-112.790283203125,1587200.0,261.03515625,112.790283203125,0.0,-12.031693458557129,0.005339945200830698,72.670800014,261.03515625,0.0,1587200.0,0.0,0.0
0.0,0.35337162017822266,1773452102.5880368,49279.63399882042,0.0,0.0,,0.8095703125,-97.93234252929688,1841152.0,271.69921875,97.93234252929688,0.0,-7.706268787384033,-0.0001584178244229406,78.544173122,271.69921875,0.0,1841152.0,0.0,0.0
0.0,0.5127975344657898,1773452108.461442,49273.246435184206,0.0,0.0,,0.736328125,-73.3270492553711,2095104.0,419.2041015625,73.3270492553711,0.0,-5.6511688232421875,-0.00013709157065022737,84.417553143,419.2041015625,0.0,2095104.0,0.0,0.0
0.0,0.6368977427482605,1773452128.9902856,49308.48071533301,0.0,0.0,"{'path': 'media/html/render_2349056_37688ca28e17ea413f66.html', 'size': 907029, '_type': 'html-file', 'sha256': '37688ca28e17ea413f6687114c37c2ba8e88e249dda6d8a24a804eb1817a2ec3'}",0.78515625,-71.96943664550781,2349056.0,495.2392578125,71.96943664550781,0.0,-5.800631046295166,-0.00016531074652448297,99.072518788,495.2392578125,0.0,2349056.0,0.0,0.0
0.0,0.8299364447593689,1773452129.1369617,49223.106246210016,0.0,0.0,,0.7119140625,-62.02199172973633,2603008.0,544.2529296875,62.02199172973633,0.0,-7.817262172698975,-0.00023613427765667439,105.081571791,544.2529296875,0.0,2603008.0,0.0,0.0
0.0,1.122589111328125,1773452134.9985118,49440.28761547941,0.0,0.0,,0.6767578125,-64.74510955810547,2856960.0,519.5673828125,64.74510955810547,0.0,-10.841609954833984,-0.00015505141345784068,110.953454624,519.5673828125,0.0,2856960.0,0.0,0.0
0.0,1.3345385789871216,1773452140.8707929,49308.784304321714,0.0,0.0,,0.7548828125,-56.90593719482422,3110912.0,593.462890625,56.90593719482422,0.0,-15.298130989074707,-0.00014969694893807173,116.831396932,593.462890625,0.0,3110912.0,0.0,0.0
