eval/episode_success,training/actor_loss,eval/episode_reward_near,training/log_alpha,eval/episode_reward_survive,_runtime,eval/episode_success_hard,_step,eval/episode_success_any,eval/episode_reward_ctrl,eval/episode_reward_dist,step,eval/episode_dist,training/entropy,_timestamp,training/sps,training/critic_loss,eval/episode_reward,training/alpha_loss,eval/episode_success_easy,render
,,,,,26.541477453,,0.0,,,,,,,1773458456.897232,,,,,,"{'size': 948709, '_type': 'html-file', 'sha256': '19f5c75ce4b4e7c863d49ef79d946fc98f385e7805790b97d74824cad4e8a6d5', 'path': 'media/html/render_0_19f5c75ce4b4e7c863d4.html'}"
,,,,,60.138157581,,1.0,,,,,,,1773458490.4939892,,,,,,"{'size': 931617, '_type': 'html-file', 'sha256': 'd20ce7e7e7d3af735b9ed6604d7aef81ba2d0332380c99b52c0fa7f7996fb4b9', 'path': 'media/html/render_1_d20ce7e7e7d3af735b9e.html'}"
121.9580078125,-7.927083492279053,0.0,0.0,0.0,66.116887886,0.0,1333248.0,0.7685546875,0.0,-152.4466552734375,1333248.0,152.4466552734375,0.0,1773458490.6416135,14312.108588179739,0.0903095230460167,121.9580078125,0.5464822053909302,0.0,
284.091796875,-5.966719150543213,0.0,0.0,0.0,71.943944437,0.0,1587200.0,0.67578125,0.0,-103.21642303466797,1587200.0,103.21642303466797,0.0,1773458496.4723065,49688.85865516898,0.03524025157094002,284.091796875,0.005518927704542875,0.0,
353.3515625,-5.639780521392822,0.0,0.0,0.0,77.787134834,0.0,1841152.0,0.857421875,0.0,-80.9084243774414,1841152.0,80.9084243774414,0.0,1773458502.299376,49712.33216058518,0.06981949508190155,353.3515625,-2.7392936317482963e-05,0.0,
335.1845703125,-7.27560567855835,0.0,0.0,0.0,83.619898651,0.0,2095104.0,0.5712890625,0.0,-90.93806457519531,2095104.0,90.93806457519531,0.0,1773458508.14257,49586.7609382805,0.1977252960205078,335.1845703125,-0.00010154281335417181,0.0,
518.8681640625,-9.334953308105469,0.0,0.0,0.0,98.248443859,0.0,2349056.0,0.720703125,0.0,-60.28883361816406,2349056.0,60.28883361816406,0.0,1773458528.6043177,49660.44278060875,0.386229008436203,518.8681640625,-0.00019923329818993807,0.0,"{'path': 'media/html/render_2349056_27a6997f85106cdcb5f6.html', 'size': 908301, '_type': 'html-file', 'sha256': '27a6997f85106cdcb5f62949540f72fd4a8f85d0caad30c40d91b55a1ac8d877'}"
523.5146484375,-10.931140899658203,0.0,0.0,0.0,104.216581413,0.0,2603008.0,0.6142578125,0.0,-62.81370162963867,2603008.0,62.81370162963867,0.0,1773458528.7484348,49603.495900844035,0.5724917650222778,523.5146484375,-0.0001956339256139472,0.0,
652.845703125,-13.900700569152832,0.0,0.0,0.0,110.047010566,0.0,2856960.0,0.7978515625,0.0,-50.58003234863281,2856960.0,50.58003234863281,0.0,1773458534.5720286,49780.70121836432,0.7776933908462524,652.845703125,-0.0003316915244795382,0.0,
644.2353515625,-18.429746627807617,0.0,0.0,0.0,115.886561257,0.0,3110912.0,0.7685546875,0.0,-50.42874526977539,3110912.0,50.42874526977539,0.0,1773458540.4023726,49695.33820660776,0.9830144643783569,644.2353515625,-0.0002436005452182144,0.0,
