eval/episode_success_any,eval/episode_reward_near,training/log_alpha,step,eval/episode_reward_survive,training/entropy,eval/episode_success,eval/episode_reward_dist,eval/episode_dist,_timestamp,eval/episode_success_hard,training/alpha_loss,_step,render,training/sps,eval/episode_reward_ctrl,eval/episode_success_easy,_runtime,training/actor_loss,training/critic_loss,eval/episode_reward
,,,,,,,,,1773781367.969584,,,0.0,"{'size': 4149353.0, '_type': 'html-file', 'sha256': '1d93cfdc4892ae79a10b919ca9c9b5d7f58daf265c0ecb38c65d800b0fb122ec', 'path': 'media/html/render_0_1d93cfdc4892ae79a10b.html'}",,,,43.218186435,,,
,,,,,,,,,1773781420.5943654,,,1.0,"{'path': 'media/html/render_1_2078814ae73d4bde26be.html', 'size': 4117373.0, '_type': 'html-file', 'sha256': '2078814ae73d4bde26bed9171383e8ec7ad99087874b418557a09bf52853a959'}",,,,95.842843462,,,
0.00390625,0.0,0.0,1333248.0,772.5234375,0.0,1.6416015625,0.0,2534.531982421875,1773781420.8102686,0.0,2.2225894927978516,1333248.0,,12225.245954181308,-1428.36962890625,28.408203125,105.114284572,-47.9758186340332,2.860520601272583,1.6416015625
0.0048828125,0.0,0.0,1587200.0,808.3193359375,0.0,0.8544921875,0.0,2762.623046875,1773781429.8652635,0.0,0.026751626282930374,1587200.0,,42247.96157498884,-1687.948486328125,22.1591796875,114.190314466,-29.028657913208008,0.7042068839073181,0.8544921875
0.0029296875,0.0,0.0,1841152.0,913.5166015625,0.0,0.189453125,0.0,3072.2666015625,1773781438.940728,0.0,0.00033651632838882506,1841152.0,,42118.50002682942,-1772.710205078125,15.65234375,123.226851954,-12.986383438110352,0.10880722850561142,0.189453125
0.0107421875,0.0,0.0,2095104.0,919.1796875,0.0,3.18359375,0.0,2983.90869140625,1773781447.977789,0.0,0.00011056587391067296,2095104.0,,42283.741540507726,-1759.466064453125,60.330078125,132.308626261,-5.603659152984619,0.016910267993807793,3.18359375
0.00390625,0.0,0.0,2349056.0,919.62109375,0.0,0.3134765625,0.0,3147.61962890625,1773781485.3896556,0.0,2.8925398510182276e-05,2349056.0,"{'path': 'media/html/render_2349056_cf8d334635abfea65f38.html', 'size': 4033181.0, '_type': 'html-file', 'sha256': 'cf8d334635abfea65f386432d2c3a082bd009ab4e0bbffcbf35ea8e040d7b27f'}",42161.62125675014,-1903.346923828125,19.0087890625,160.638128449,-2.453949451446533,0.0034661549143493176,0.3134765625
0.0,0.0,0.0,2603008.0,783.8701171875,0.0,0.0,0.0,2689.56787109375,1773781485.571524,0.0,2.1061972802272066e-05,2603008.0,,42218.260325698546,-1498.490966796875,13.5986328125,169.908934136,-1.1712465286254883,0.002323137130588293,0.0
0.0029296875,0.0,0.0,2856960.0,873.451171875,0.0,1.181640625,0.0,2970.10595703125,1773781494.6597884,0.0,1.2611612874025013e-06,2856960.0,,42142.83979557346,-1689.91259765625,12.81640625,178.934142251,-0.6677325367927551,0.004238893277943134,1.181640625
0.0009765625,0.0,0.0,3110912.0,791.5302734375,0.0,0.5517578125,0.0,2685.635986328125,1773781503.6850336,0.0,1.7469072872700053e-06,3110912.0,,42264.074683977255,-1486.2694091796875,12.9306640625,188.029510968,-0.5770593285560608,0.00680922344326973,0.5517578125
