training/sps,_step,step,training/alpha_loss,eval/episode_success,training/log_alpha,render,eval/episode_reward_dist,eval/episode_reward_near,eval/episode_success_any,eval/episode_reward,training/critic_loss,eval/episode_reward_ctrl,eval/episode_dist,training/actor_loss,training/entropy,eval/episode_success_hard,_timestamp,eval/episode_reward_survive,_runtime,eval/episode_success_easy
,0.0,,,,,"{'size': 4216617.0, '_type': 'html-file', 'sha256': '59035a2c0c93bf0e5906a56d202f8b043869a8b9009a3014a1af41b8374b4fde', 'path': 'media/html/render_0_59035a2c0c93bf0e5906.html'}",,,,,,,,,,,1773763710.6920152,,43.359878338,
,1.0,,,,,"{'path': 'media/html/render_1_4dfc28be6ee85aeab330.html', 'size': 4131973.0, '_type': 'html-file', 'sha256': '4dfc28be6ee85aeab3305419c83fdfc29fec33091b2091ade08e8dfe1a7a660e'}",,,,,,,,,,,1773763763.8213983,,96.489163487,
12127.879640820014,1333248.0,1333248.0,2.2100963592529297,0.1728515625,0.0,,0.0,0.0,0.001953125,0.1728515625,2.885403633117676,-1044.864501953125,2130.39990234375,-45.15702438354492,0.0,0.0,1773763763.9982355,627.1513671875,105.726344774,23.5517578125
42209.18597731023,1587200.0,1587200.0,0.028648164123296738,0.611328125,0.0,,0.0,0.0,0.001953125,0.611328125,0.6865359544754028,-1662.30517578125,2746.15673828125,-26.08492660522461,0.0,0.0,1773763773.058034,798.11328125,114.802536429,25.6923828125
42129.78820946285,1841152.0,1841152.0,0.00022043405624572188,0.486328125,0.0,,0.0,0.0,0.00390625,0.486328125,0.10405804961919785,-1693.68017578125,2853.428955078125,-11.42393970489502,0.0,0.0,1773763782.133915,843.6044921875,123.845772514,20.615234375
42254.610179766736,2095104.0,2095104.0,0.00012966398207936436,0.53125,0.0,,0.0,0.0,0.0029296875,0.53125,0.017741920426487923,-1757.135009765625,3167.17529296875,-5.028800964355469,0.0,0.0,1773763791.177116,937.8505859375,132.92502967,20.5322265625
42231.89088740379,2349056.0,2349056.0,2.746767677308526e-05,0.0,0.0,"{'path': 'media/html/render_2349056_167a66d63e7e03160e70.html', 'size': 4037781.0, '_type': 'html-file', 'sha256': '167a66d63e7e03160e70975af102f715cf5e90fa7e3945d080212b6876856273'}",0.0,0.0,0.0,0.0,0.005949053913354874,-1872.72021484375,3304.24365234375,-2.274339437484741,0.0,0.0,1773763828.7414215,952.1904296875,161.409200284,8.4326171875
42211.99619916354,2603008.0,2603008.0,-1.1129168342449702e-06,0.4375,0.0,,0.0,0.0,0.0009765625,0.4375,0.0109113659709692,-1826.6552734375,3083.216796875,-1.3252992630004883,0.0,0.0,1773763828.9245684,905.8134765625,170.677742257,8.369140625
42192.770387006225,2856960.0,2856960.0,2.157252311008051e-06,0.0,0.0,,0.0,0.0,0.0,0.0,0.017094692215323448,-1779.767578125,2860.336669921875,-1.026038646697998,0.0,0.0,1773763838.009442,863.666015625,179.699702613,19.1982421875
42319.07438489355,3110912.0,3110912.0,3.0651142424176214e-06,0.03125,0.0,,0.0,0.0,0.0009765625,0.03125,0.022743962705135345,-2004.2900390625,3045.99755859375,-0.8951500654220581,0.0,0.0,1773763847.031179,910.3740234375,188.788011173,11.89453125
