eval/episode_reward,eval/episode_success,eval/episode_reward_near,training/entropy,eval/episode_reward_ctrl,eval/episode_reward_dist,eval/episode_dist,step,eval/episode_reward_survive,training/critic_loss,_timestamp,eval/episode_success_hard,eval/episode_success_any,training/log_alpha,training/sps,training/actor_loss,render,training/alpha_loss,_step,_runtime,eval/episode_success_easy
,,,,,,,,,,1773859859.4333057,,,,,,"{'path': 'media/html/render_0_46444a1d53ae820b89c9.html', 'size': 4760725.0, '_type': 'html-file', 'sha256': '46444a1d53ae820b89c9677267e16d8f02ee3ea7ca56a2bd18787fa861c17da3'}",,0.0,58.056345786,
,,,,,,,,,,1773859931.1304953,,,,,,"{'path': 'media/html/render_1_90349f9c85a441c43ffc.html', 'size': 4696005.0, '_type': 'html-file', 'sha256': '90349f9c85a441c43ffccf6e0c571522e30db7610380e1e173a53999883b6eba'}",,1.0,129.753515738,
0.0,0.0,0.0,0.0,0.0,0.0,168.45327758789062,793600.0,0.0,34.82539749145508,1773859931.3093793,0.0,0.0,0.0,9232.572971136045,-51.41672134399414,,5.1584672927856445,793600.0,141.597597146,13.177734375
0.029296875,0.029296875,0.0,0.0,0.0,0.0,235.9288330078125,1047552.0,0.0,4.459230899810791,1773859942.973912,0.0,0.001953125,0.0,32996.916743333546,-60.8547477722168,,0.02515779249370098,1047552.0,153.203343364,21.453125
0.013671875,0.013671875,0.0,0.0,0.0,0.0,273.3722229003906,1301504.0,0.0,1.809568166732788,1773859954.5797591,0.0,0.001953125,0.0,33251.359018951945,-46.01021957397461,,0.0010317900450900197,1301504.0,164.837054538,20.0390625
0.0,0.0,0.0,0.0,0.0,0.0,199.04615783691406,1555456.0,0.0,0.829311192035675,1773859966.213379,0.0,0.0,0.0,33110.35645001904,-24.012224197387695,,0.0013614874333143234,1555456.0,176.461056186,14.357421875
0.0,0.0,0.0,0.0,0.0,0.0,300.1339416503906,1809408.0,0.0,0.28774189949035645,1773860015.3776753,0.0,0.0,0.0,33164.00172727118,-11.864150047302246,"{'path': 'media/html/render_1809408_6bc1e9d8cccb6f3960b3.html', 'size': 4783053.0, '_type': 'html-file', 'sha256': '6bc1e9d8cccb6f3960b3844719884241a139da5c9cc00b79720f3c9d8ca5b2cb'}",0.0005367934936657548,1809408.0,214.000677347,21.47265625
0.0078125,0.0078125,0.0,0.0,0.0,0.0,219.60377502441406,2063360.0,0.0,0.10459111630916595,1773860015.562072,0.0,0.001953125,0.0,33096.08294603491,-6.15236759185791,,0.00045356785994954407,2063360.0,225.825528811,17.9921875
0.005859375,0.005859375,0.0,0.0,0.0,0.0,351.5191650390625,2317312.0,0.0,0.028381243348121643,1773860027.2020843,0.0,0.001953125,0.0,33095.58728796133,-2.3880112171173096,,0.00027435357333160937,2317312.0,237.453354133,27.5546875
0.0,0.0,0.0,0.0,0.0,0.0,119.32623291015625,2571264.0,0.0,0.006763001903891563,1773860038.829679,0.0,0.0,0.0,33148.31192277451,-0.7759173512458801,,0.0001235583476955071,2571264.0,249.080720602,8.509765625
